Architecture    Offer                   Publisher    Sku                              Urn                                                                         Version
--------------  ----------------------  -----------  -------------------------------  --------------------------------------------------------------------------  ---------------
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202407011                              24.04.202407011
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202407100                              24.04.202407100
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202407110                              24.04.202407110
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202408010                              24.04.202408010
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202408090                              24.04.202408090
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202408210                              24.04.202408210
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202408300                              24.04.202408300
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202409060                              24.04.202409060
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202409120                              24.04.202409120
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202409170                              24.04.202409170
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202409270                              24.04.202409270
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202410010                              24.04.202410010
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202410090                              24.04.202410090
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202410170                              24.04.202410170
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202411030                              24.04.202411030
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202501090                              24.04.202501090
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202502040                              24.04.202502040
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202505210                              24.04.202505210
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202506100                              24.04.202506100
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202507010                              24.04.202507010
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202507080                              24.04.202507080
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202507300                              24.04.202507300
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202509110                              24.04.202509110
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202509140                              24.04.202509140
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202509160                              24.04.202509160
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202509170                              24.04.202509170
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202509250                              24.04.202509250
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202511250                              24.04.202511250
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202512181                              24.04.202512181
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202601290                              24.04.202601290
x64             ubuntu-24_04-lts        Canonical    cvm                              Canonical:ubuntu-24_04-lts:cvm:24.04.202604160                              24.04.202604160
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202404230                          24.04.202404230
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202407010                          24.04.202407010
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202407310                          24.04.202407310
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202408090                          24.04.202408090
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202408210                          24.04.202408210
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202408220                          24.04.202408220
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202408300                          24.04.202408300
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202409030                          24.04.202409030
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202409100                          24.04.202409100
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202409260                          24.04.202409260
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202410010                          24.04.202410010
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202410020                          24.04.202410020
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202410030                          24.04.202410030
